Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
Incredible Foods,Creators of clean technology that is based on the concept of a biomimetic botanical fruit.,Plant-based,Ingredients and inputs,End product formulation and manufacturing,Other,,,U.S. and Canada,United States,MA,Boston,http://incrediblefoods.com/,2012,David Edwards,2017-01-25-15-47-incrediblefoodslogo_cropped_90.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/bMfkvR2Pfx0_mHRq5zv7gQ/As4pDUV7YLa8OX7wW5pdSNBRMb9mrbzxc7tT-cKf0r3558ejYKEMaYFMl4hX-mM9VLMQGhf7tQlhV3p3_VvFqGZqpIxnj-EzLMuVZvV-Fbu9lZffXNXohGc36J7_PSHWKQoh9fiKMsLTb7nYJz0gKQ/77qzyY0Q3RzIYpUchkKqyigGuZj9x1xjJJn37mwIzWs)
Magellan Life Sciences,"UK-based synthetic biology company that discovers and develops plant-inspired proteins for food and beverage applications, including ""Brazzein"" protein sweetener.",Plant-based,"Contract manufacturing/processing,Ingredients and inputs","Bioprocess design,Ingredient optimization",,,,Europe,United Kingdom,England,London,http://magellanlifesciences.com/,2014,"Abhiram Dukkipati, Laxmi Wagle",Magellan.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/-NffQAkg0zAWB2BagPvTXA/uoVGsA8CeaGSL_mz8y-E2Dnn_uiqO0Xc6mV6nQ09BTFruu6h-Iaf1oxSgTP9UEf5l5tGYh7rP3YoaD6KEDuyaciqZdvk_4rUDpMnw1OCrpg/_PxCckGK5sl7hJ_BoTsaMtlfnsnXbqvTslRHH5Exm2Y)
Hooked Foods,Maker of plant-based seafood ,Plant-based,"Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,Other,Fish,,Europe,Sweden,,Stockholms,https://www.hookedfoods.com/,2019,"Emil Wasteson, Tom Johansson",1602153347620.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/u8URfpny25NHRwvkdBlavQ/n-loSiVsmVE0bHUr88-Ub3QrXDHDez_uK_EgKK2R3tDa7HAuwRq3URkD1VvdSOYbZaWETIx3OYfUXGyRljkL5btB5FpGsYMOi2WEzuo01ik/8BF_YmomD8mMYyDhZGi_zF62ohAWTK3cApFrrDn0HlE)
Schouten Food,Producer of a variety of plant-based meats; provides private label production.,Plant-based,"Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,Other meat,"Chicken,Beef/veal,Fish,Tuna","Wheat,Soy",Europe,Netherlands,,Giessen,https://www.schoutenfood.com/usa/,1930,"Marinas, Bart, and Otto Schouten",schouten.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/JDRzqAjoPpbtXcugGpp4cg/04-qQj9cWTcKLRevVVW_QkoJQJrDUP_Xh6C6PqsHni44UImlvdfZTmrHg_eOdtUg1gVxONuhkl-OJNnKT_fRGfwMvSnL6oG9AKVyZ56LPjo/rd4sl_PFNhcPjtqYwgCSzz0oydkYWHAfATVazM6eJ30)
NuMilk,"NuMilk provides non-dairy, fresh milled almond milk with the push of a button.",Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,Milk,,Almond,U.S. and Canada,United States,NY,North Salem,https://www.numilkfresh.com/,2018,Ari Tolwin,NUMlogo.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/k1aiOiAFeVBuHKCFA9MLAQ/RFu2GoTHsdHFqh2hsXhmX830UmL4qS3O83GoEVLwz59VT8p1RqSf3OQfi8ARLnPyIXQAZ4SEGC6969icRw4gz6SNMDkn5wUlB7Oz4gAXQQs/R8cS562ZM-m51a-IP1o7Q9wf_76a9kd7YJY0OTDzvug)
Grounded Foods,Maker of plant-based cheese from cauliflower and hemp,"Plant-based,Traditional fermentation","Dairy,Ingredients and inputs",End product formulation and manufacturing,"Cheese,Other dairy",,"Cauliflower,Hemp",U.S. and Canada,United States,CA,Los Angeles,https://www.groundedfoods.com/,2019,"Veronica Fil, Shaun Quade",Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/RuvyVUK9poeDtRfAINv3lw/g5hjP-VON6cMc7cbDrtUYB8wYkgM9s6xftWUrlF0t1FgwGzA3jb7y64MxGLw-NxR5veDqFAOYKDIypXIabykZIE-0pL8veUdJrw7WpLrUUY/oxnq2OWPx2iUETVu259HIJv50_pIDTGng7qQ66f__24)
Plantedit,Startup in Ireland working on editing the genome of plants to produce mammalian protein and human drugs.,Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,,Europe,Ireland,,Cork,http://plantedit.com/,2017,"Chidananda Nagamangala, Ok-jae Koo",PlantedIt.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/K6ND8j8dYm-hvyuhdOLmbw/fO9VQo5IGUk7L9Ezbfmi14rCFXjgXUtM0jqx-3gCoFcVuepdZVZvgSOncWS03BVSvabKbCd83sgZzmM0KzV7SI8UipQ1pmmOzRu68YSV4J8/W6uFETWZfxUSAIpHdN-_yht6oZ9BSpXEQlQ4MzeI7ho)
Improved Nature,Low cost plant-based meat that is sold as a B2C finished product or as a B2B dry ingredient for further processing,Plant-based,"Meat,Ingredients and inputs",End product formulation and manufacturing,Ground meat,Chicken,Soy,U.S. and Canada,United States,NC,Garner,https://www.improvednature.com/,2015,Rody Hawkins,logo_improvedNature_R.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/dP_PqTh46ocvWj6OHiTTsA/LanGZDxLVLzMTnVEdg3_6_3EcdhyPYXKq7PDKhrskS4gPatZ9HWH_vWZQ2HVTcnflfdcJdatKof6cQ0wtprvKfWE3IRU1WOp_Ky-9r5KII-jHNCcCXOB4U7GFj4Uvc7M/8r8Foy7DrvoioCNvUCGbPWWjPWumjvXhDgmCts6vpsc)
Meatless BV,"Produces blended products composed of real meat blended with meatless fibers. Meatless is a 100% vegetable fat free fibre, made from lupine, wheat or rice.",Plant-based,Ingredients and inputs,Ingredient optimization,,"Fish,Beef/veal","Rice,Fava bean,Quinoa",Europe,Netherlands,N/A,Goes,http://www.meatless.nl/en/,2006,"Created out of a meat processing company, the original meat company has been sold in favor of pursuing plant-based alternatives",Screen Shot 2021-01-04 at 12_03_20 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/nVLl6N1fVlPeaxF6kCkjoA/XIatAWewh3pxWgOSWkmFcwYFKveGCI64YBuqNhcMhM0OopyFSapVELK3tpddUwREL-r40PBigXKm52m8JDOIcw389Nj_qwhNxxChp27XqCmzVGr-Sj7j1onZ475mTNPD/L7CJli8Od8z5KNe7f4CAqfo5QzOo0xywiVsA7ytE8D8)
VBites,"Maker of a variety of plant-based meats, dairy, and seafood",Plant-based,"Dairy,Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,"Ground meat,Cheese",Fish,"Soy,Coconut,Wheat",Europe,United Kingdom,Nottinghamshire,Corby,https://www.vbites.com/,1993,Heather Mills,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/btKHMteAmeeZOoclPok56g/EGo1A2KEjHRAFPU9rcR97s0LKFlwRzZ654MAiUERVMph9gNXKCywdGG5W2RcR4Sa_qc00rG_M1122DZcRYB2NCXR5jUbngIKEVUMnW35MZs/GdNNiK3DDCJ6D1oGMHLGbwl7-pD_mUEDsRH1cdIqhIs)
Novozymes ,Company providing fermentation services to extract protein from and enhance flavor in vegetables and more (part of a larger business),"Fermentation-derived,Plant-based",Ingredients and inputs,,,,,Europe,Denmark,,Bagsværd,https://www.novozymes.com/en#,2000,,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/gKGrQ5ph7IQYf8ppTV4tSw/Ep2L7odcriBu5AkXQyNyvzmyTBMlUwe6SIx4wNCxDB51pC8CzErerrr5VzYd_trtRJSyiiGAD1CSp-ldyj5QPZ0UC87Z9vaMzctOV8I6MtQ/UJXfRt2k0hQVe49SvakYyRE7TnXhg4GhDInDmLxBmyw)
Air Protein,U.S.-based startup focusing on using a closed loop carbon cycle to create food grade protein,Biomass fermentation,"Ingredients and inputs,Meat","Ingredient optimization,End product formulation and manufacturing","Ground meat,Other meat",Chicken,Soy,U.S. and Canada,United States,CA,Pleasanton,https://www.airprotein.com/,2019,"Lisa Dyson, Dr. John Reed",AirProtein_logoTeal_Trademark.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/pBEnMVF5nBDREhffrCjQxA/INldM99SvJoZ09ZFELzwIpOWGqhVaCBeBnSNse1Z9eCNfM4kMOeb-n0AvOpPW1Ete9d99Tf-Eyr4EJps8UJn744BGffvjWr0g1oB6V-CJET1bFb4JNyzvRotpXfGVlgr/Ydix7axcv_He-xy2ByVRSiB5OA_mdxDdhyLFc_m8ewo)
ORF Genetics,Producer of plant-made recombinant growth factors for cultivated meat production (part of a larger business),"Cultivated,Fermentation-derived,Plant molecular farming",Ingredients and inputs,Ingredient optimization,,,Barley,Europe,Iceland,Kópavogur,,https://orfgenetics.com/pages/founders-story,2001,"Björn Lárus Örvar, Ph.D.",ixwbkmfl97oudp1uz1po.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/zwPVN7BlqcU0NIZaN4897Q/x7YHL23vawIT45v1N21PtqjC9Q_hEV2nDWA2oURsu3pitX0cflun7wcN7Ay43kR4hVfrMGdy_xhxXfIrn77d3YgOhyuqZqC472Hu4XgQgME/gtzGQZ718dva0gdVSGR2OBC9gxkJ5EIXAY7xOiFsg7A)
Evolva,Produces natural ingredients using genetically modified baker's yeast (no current animal products) (part of a larger business) Also  provide tailored services to clients across industries.,Fermentation-derived,Ingredients and inputs,Ingredient optimization,Other,,,"Europe,U.S. and Canada",Switzerland,,,https://www.evolva.com/,2004,Oliver P. Walker,1588664142936.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/k2i4jkCVPV5S91ylPFaEfw/6_7y_9xHtjPVJd-lEaZ_kWOhdnNc-i3PH9NKfcQ4acAZzwL4si_hQgGsA1d72r7wBikHztpvtrVCk5e3J7zztwRDavge-T5pFrLAj-C9fkA/zGdvomiUdtvkSUbRtelCQzYPEiZCOLnQqm71Z5W34dI)
Nature BioScience,Produces a variety of dairy enzymes from microbial and non-microbial sources (part of a larger business),Fermentation-derived,Ingredients and inputs,Ingredient optimization,"Other dairy,Cheese,Milk",,,Asia Pacific,India ,,,http://www.naturebioscience.com/dairy-enzymes.php,2014,,logo (1).png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/SUQLP5maNjOWMSRont8WeQ/g-lzw8vBFuZDVAOFEzQA1VlMajqE9uhdaz39HvkhhY3rv-NvdKeLh5gVTIogQW_atzvvQYw18gz_AWYn8LBil-OT41P4J7xpPhd3XDtHsqc/nr0bxWDZcldZjhJPXf238eZGPwE4OE3lEh3UYI8LABA)
Provenance Bio,Develops synbio tools for use in creating animal proteins,Precision fermentation,Ingredients and inputs,,,,,U.S. and Canada,United States,CA,San Francisco,http://www.provenance.bio,2016,Christian Ewton,provenance-logo.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/2KAQjxqEToojNJlplbe_mQ/NNe5_BKMlD_w0ZKa_R0knTO2zLIEOThj2IXzs5tswdh-xtANUEWV2RNHnw9ioEBRQXROjEDs8mJJXiklZ5SpdMWTIr12Y0WYmqXZeDubNRY/0R0BdPlrcvwKZJcer2DTP938-3bbn4_j4qwPfLVgeqA)
Geltor,"Bio-design company that makes proteins used in beauty, food, & beverage products like collagen and elastin, but without animals.",Precision fermentation,"Ingredients and inputs,Contract manufacturing/processing","Ingredient optimization,End product formulation and manufacturing",,,,U.S. and Canada,United States,CA,San Francisco,http://geltor.com/,2015,"Alexander Lorestani, Nick Ouzounov",logoBlueNew.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/90yxJwWlr4Wl_0Tuv-Narg/-NTZpMl84LjlFha8Cw0Itl2ZPasbnh1UUfv1lCnHORGxK8S_aNwvQRGlmfIj0D2IY_35Wo7NtnFhpJfyANeK-lyPc1twxzrXvgMhOzejTc8/Tb_B-_LkDGVV0hp-YvoUlBHR4ng65RNeNOUlMuNtgAI)
ENOUGH,Startup working on a zero waste mycoprotein production process for sustainable protein. Formerly known as 3F Bio. ,Biomass fermentation,"Ingredients and inputs,Contract manufacturing/processing,Food processing infrastructure and equipment","Bioprocess design,Ingredient optimization","Pet food,Ground meat,Other meat",,Feedstocks,Europe,United Kingdom,Scotland,Glasgow,https://www.enough-food.com/,2015,"Craig Johnson, David Ritchie, Jim Laird",Enough logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/d7kLWty0otSzraNGc6Paaw/4GSTstSEdJIFr1Q-2wkKE0qmWkO591hOtQ0es2zod7k8Au_qslnplSGyT4Usq8zh6czbwRFjFaFHsC8W9kL02-wo492J0Kvp6iltoycCwgc/gcQLj1RpnIhjQ1EQHKM6rRxDuZmhSV7H5Ig0M16g_nw)
Fermentalg,"Engaged in the production of micro-algae for the agrifood, healthcare and energy markets. For the alternative protein space, they produce micro-algae for plant-based foods and fish meal",Fermentation-derived,Ingredients and inputs,Ingredient optimization,Other,,Algae,Europe,France,,Libourne,https://www.fermentalg.com/solutions/alternative-proteins/,2014,Philippe Lavielle,fermentalg-logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/laJsNxtmAJsz5_fJpT4ohg/ezwsYjejhFlZz-cB1Zpcw9mWSSioQZMP7CQ9yzqAs3PF2CPWWYU71FiRTSSfp892wCVyzpLzFNJG7JVsH7SDSr4jEoH9dv6a_i-lZNIQkw4/oDHUVsa8ZKM1HLX7CsTeWM6gd5465Ri_2uEUCc7lnKo)
Afineur ,"Startup using fermentation to improve plant based food, starting with coffee and chocolate. Also developed a cultured plant based protein (part of a larger business)",Traditional fermentation,Ingredients and inputs,Host strain development,Other,,,U.S. and Canada,United States,NY,New York,https://www.afineur.com/,2014,"Camille Delebecque, Sophie Deterre",download.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/A7zrcmdlbd2gucpKAHabSw/k1Sp2Yj6-nPu6Li-IPvtjkVv-jjJR9ovD4DDGwpGe-ATfRzr4GNiURidFv-gFHEgGXYqg1JqfTdQu3tu4a_6eEjGLe4YMs1_6NVCJwcGe6I/i3ZCTspHpTicxESoLcisF_yEYRBjFDiCq2BHalmz4ds)
Final Foods,"Provides open source bioreactor and courses on fermentation alt protein production. Current offerings include courses on heme, GFP, and whey protein production",Precision fermentation,"Bioprocessing infrastructure and equipment,Other",Bioprocess design,,,"Yeast,Whey",U.S. and Canada,United States,CA,Santa Clara,https://www.finalfoods.com,2020, ,Screen Shot 2021-01-22 at 1_22_12 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/DAW26A9bPNsThOZoIlxsTQ/BWDf2_aqZhSY85NislNCENIm6frY1GiTpJ-d1CyNTXHRzrm4SYTGoefGoaee1NUPH0vzebpPDHNwoxYnbvqL7gvlWjIb0FL_M1_VpHYrVWNntYCvP2gxV-FoeVGNUpkP/oLBBQjI5bJ4wCJUP9S5eekfc6QI5xBunLx1QBypp9nc)
RhYme Biotechnology,"Startup that aims to make innovative, next generation lipid-based ingredients for cosmetics, foods, lubricants, and other consumer products.We're engineering a microbial platform to turn biomass waste into high-value oils with better performances.",Fermentation-derived,Ingredients and inputs,Bioprocess design,Other,,,U.S. and Canada,Canada,BC,Vancouver,https://www.rhymebiotechnology.com,2016,"Raphael Roccor, James Round",Screen Shot 2021-02-11 at 1_49_24 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/UIeT7Chku5x8DX_mjBJw5A/NDsGf_FWAROeRwY7Cc07W_PPi6-bh_fxAqCeo4uW0tWK3a7XwhjZzoTPsOL2nQK2FpX1w2vVRyHUGOU1e5vfk00KsM1F61BoWNV3Rm4O4HxDs-elQoUJmPO8Iyo7rhWm/Nzr45Gr7NhBjKuIMusFHLd-MnutedzY3Z9MbI6Kqdis)
CJ Bio,Large corporation using fermentation technology to produce plant-based amino acids for flavoring of plant-based meats,Fermentation-derived,Ingredients and inputs,End product formulation and manufacturing,Other,Other,,Asia Pacific,South Korea,,Seoul,https://www.cjbio.net/en/index.do,1950,Bong Soo Hah,1555398739826.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/LEfWAGyTru90XeM5GeEmeg/eZBSkn0l24iT5sVbFSBHAAFSYA2hZTTQig-xy73TxMssdeSSSX_XREa5iF9vUvl46Ajk6R19R1dNI6-R11IiBvhoggKhFuaFnYx9GvRIKpc/qwiIuouKjz-RwR6DEC0oCL6ipFDJTv5cp_2IPIUcAtY)
Culture Biosciences,"US-based company whose first offering enables biopharma, biotechnology, and synthetic biology companies to run their bioprocessing R&D in the cloud. Digital biomanufacturing R&D. ",Fermentation-derived,Bioprocessing infrastructure and equipment,"Bioprocess design,Cell culture media,Cell line development,Host strain development",,,,U.S. and Canada,United States,CA,San Francisco,https://www.culturebiosciences.com/,2016,"Will Patrick, Matt Ball",fhqxi1hx37rffdwv2sv0.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/eyi2rWApNB7W_k5S8wz1Ng/TKQY_jVTWU9ipKkigWqHRYroJSD-HMIU_37iTJVId2wR0DPpKEY_7lJVyjR63PKJP7Dx4qfTnrW0ywII-FbJE6Qcux3UN1uMq2hNZt9f324/lbV_3GqeU46yZRHaC15hP6M49DTm-rrub3HNiEab1hA)
Osprey Biotechnics,R&D partner for fermentation solutions (part of a larger business),Fermentation-derived,"Ingredients and inputs,Bioprocessing infrastructure and equipment","Ingredient optimization,End product formulation and manufacturing",,,,U.S. and Canada,United States,FL,Sarasota,https://ospreybiotechnics.com/fermentation.php,1980,Larrick Glendening,any2pzcjv6fyc8zuwrzg.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/UtMtnaXpMmVSac8T-jWMCQ/6zT_HTUQd6dATHLFMo-q1riSxiQtO9YByVqd50G07m5BVyxhldkSx9qP5zkFC67Ox7YoKD-vln4oq5RUfK9-iOBJaAQi_8yobhKaWzcDyiM/uL274RC8UzsMG50Dxv22klgemHFRYoS1DnELHBi9qTg)
Triton Algae Innovations,"Produces heme and other meat-like compounds from a green algae called Chlamydomonas reinhardti for plant-based meat applications. In addition to ingredients, the startup's first retail product will be a tuna analog. ",Precision fermentation,"Ingredients and inputs,Seafood","Bioprocess design,Target molecule selection,End product formulation and manufacturing",,"Tuna,Fish",Algae,U.S. and Canada,United States,CA,San Diego,https://www.tritonai.com/,2013,"Beth Rasala, Daniel Sachs, Jason Pyle, Miller Tran, Nick Hofmeister, Stephen Mayfield, William Julien",connect-sdvg-san-diego-venture-group-cool-companies-2018-fundraising-program-startup-business-triton-algae-innovations-ltd-logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/qVg5yUZSM0dc8VWg92v1gQ/tmMdms1GtRrip8WcCHb9uLYDV_2NhpnYh90kMC0Jz_ZqG7Uy27RrSxaJhkqlf_mZd2cXQ2wLc8wXZTne639uXhsugiB_MIB4F3vmCkiYKqgFgymEl75cZKoQYMmtGiOmkVnqyaPV3ilIXz_GkjpFX83Tz4379NvMR6lHryOCqGiWFaPCOhgNK4lz98nzoOMIkg7d_aVQL3dMSu7iECUzpUkf8ukVu34o-AGHWivAkqkE3iOX8vjKcdcWu7jogVA5/t_ypEPEY1d9XJi0tSXjaAgbxqqiwIm44VFkDdRstnoQ)
The Protein Brewery,"Producer of ""Fermotein"" fungi based protein for human consumption to replace meat",Biomass fermentation,"Meat,Ingredients and inputs",Ingredient optimization,,,Fungi,Europe,Netherlands,,Breda,https://www.theproteinbrewery.nl/,2019,Wim de Laat,download (6).jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/iN-YFVTm3yQuhALf7w_nQA/uQe7gZr9imueaFoOkmgxMUvILDi09rzMUJfR0h6N9AvMO_DT_n2UbUIytq-jvBkCAh6wRNEnVN2nlcHiT-uPk7KPPFrDwW6TXm108kIi2e0/_C2j0Cj5OwPJu_yjPkGF4n9NE-FD1JBkAyb1JXxF3oo)
NextFerm,"Startup working on fermented proteins (astaxanthin) for supplements, infant nutrition, and animal feed (part of a larger business)",Fermentation-derived,Ingredients and inputs,Host strain development,,,,Africa/Middle East,Israel,,Yoqne`am `illit,https://www.nextferm.com/,2013,"Boaz Noy, Tzafra Cohen",logo (2).png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/o-Yr6fwAGlt_f5Jv_OnSYw/-r_JZw8w25CcdIwXpMyb62iz98jDjGIbtMhA4FdbLSbE1dB-acsOz7zmeWkbTRGoL4EUte4DCdXE4jK3h5ZqJyyW3OyEOuchzbqNzMTKSmw/xJSlpK4aFyL3eW8ff156LyaATaTpWGwfahnnQaG-eks)
