Company name,Brief description,Protein category,Company focus,Current round,Target deal size,Amount raised to date for this round,Total investment to date,Asset type,Target investor types,Pitch deck (optional),Video of pitch (optional),Technology Focus (from Database link),Product type,Animal-type analog,Ingredient type,Operating regions,Country,Founders,Year founded,Contact email,Website
Sea-Stematic,South Africa-based company focused on manufacturing fish through cell cultivation and with progressive food production R&D processes,Cultivated,Seafood,Seed,3000000,0,70,Equity,"Venture capital ,Private equity,Family office,Foundation",Sea-Stematic Overview_April 2022 KBW.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Ba0tL9OXLcNhYlT2mKlzjQ/DRxwrPrOd3mf4ETl7YEldHB26ongXcwWKRNcGLe120oINxQpBJYW5CHqe-uAmepLAf9VYsG_1KxSgINOtdvubaKidqARgCQYYyLHC01lwrtTzgbK6gbcn5SarmUuISAD/MVRaf500jbZicgstjhOVa3B9pLnH1eqs5KJ9ZegKz-Q),https://www.youtube.com/watch?v=6XSKfzqRbEQ&t=48s,End product formulation and manufacturing,Whole muscle meat,Fish,,Africa/Middle East,South Africa,Marica Quarsingh,2021,marica@sea-stematic.com,https://sea-stematic.com/
Mzansi Meat Co. ,South Africa-based startup working on cultivated beef and chicken,Cultivated,Meat,Seed,5M ,0,0.69,Equity,"Venture capital ,Family office,Strategic or corporate",,,"Cell culture media,End product formulation and manufacturing",Whole muscle meat,"Beef/veal,Chicken",,Africa/Middle East,South Africa,"Jay Van Der Walt, Brett Thompson",2020,tasneem@mzansimeat.co,http://mzansimeat.co/
Pullulo Pte Ltd,Singapore-based startup that upcycles agriculture leftovers such as fruits & vegetables into microbial for various food applications using disruptive fermentation technology. ,"Biomass fermentation,Precision fermentation","Meat,Seafood,Ingredients and inputs,Eggs,Dairy",Seed,1.4,0.2,0.2,Equity,"Venture capital ,Family office,Private equity,Angel ,Hedge fund",Pullulo Proposal Eng Y2022.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/GaqsaD6TtEB_CkYygvmUgg/j8BXeeKFzbpsWwurUuR2O8cCvc9jEfNsPlWeq8HsMu0ivIzmDgJSyfrKEbKbql0lUrfznb4N0fTf4yIiUs-q1WeipG2l8OX4OoqGucMYAOU9x9EIoG2zSuQ6hSrt-S7Z/0eduiSSp7jqn62JbafW1Twwda4bl-JUaclq-qfYFQaM),https://youtu.be/9IKCb0Zf84E,"End product formulation and manufacturing,Ingredient optimization","Ground meat,Eggs,Ingredients","Beef/veal,Pork,Fish,Chicken,Tuna,Turkey,Mutton/lamb","Palm,Coconut,Cauliflower,Eggplant",Asia Pacific,Singapore,Jonathan Cheng,2022,jonathan_cheng@pullulo.com.sg,www.pullulo.com.sg
Rebellyous Foods,"Rebellyous produces plant-based chicken nuggets with a focus on foodservice such as hospitals, corporate cafeterias, and schools. They also have limited retail distribution in the Pacific Northwest of the United States, with an eye toward national retail expansion. ",Plant-based,Meat,Other,15,10,18,SAFE,"Family office,Venture capital ,Strategic or corporate",,,End product formulation and manufacturing,Other meat,Chicken,Soy,U.S. and Canada,United States,Christie Lagally,2017,christie.lagally@rebellyous.com,"https://rebellyous.com/
"
Ouro Foods,"Ouro Foods is developing 4D tissue engineering + bioprinting technologies  to create plant- and cell-based meat that “corrects” flavor and aroma for a variety of taste-impaired palate profiles. This protein will be the centerpiece of meal kits targeting taste impaired patients. 

","Plant-based,Cultivated",Meat,Pre-seed,$3M ,0,0,SAFE,"Angel ,Accelerator/incubator,Venture capital ,Family office,Strategic or corporate",Ouro Foods Deck.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/6fm356EisJge1AmpS3CH7Q/6CgkH3-rxfYiQiAUkJEGaAdnrkQKQzXpviD4Iwp6nNUnvC0WKEk4x5v-uNKH8MMnx8v0UJvjkbSM25WLNCG1jsK-WTlScESt_7NQoDn2BHw/PCq31gt76zgKCjnuFJr5XVB7rOJQpFrg1bk7_pfMMG0),,End product formulation and manufacturing,,,,U.S. and Canada,United States,,2022,elizabeth@ourofoods.com,http://www.ourofoods.com
Urban Tiller Pte Ltd,"We are a Singaporean startup working on protein extraction from all types of leaves. We are developing a proprietary platform that can process leaves of any type to extract leaf protein called Rubisco, the world’s most abundant high-quality protein. ",Plant-based,"Ingredients and inputs,Other",Seed,3000000,150000,500000,Equity,"Angel ,Venture capital ,Accelerator/incubator,Family office,Private equity",Urban Tiller V9.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/_k-LfJQ3oYwNM8Tx7A8ILA/Mze9ZCAAPnYaJK18F5t_VVAP2Irps4rPPv2zG4Wj90puStXiWQkvPueKwSYunFkKhTjgs4_RJkFI2mHNWTkMLTwBRKu8tK2V5nDdbQKPI_Y/sC_ZMJkusx03AqM2q2BobZe40WtvEktmZMmAPEV7z9s),,"Ingredient optimization,Crop development,Feedstocks",,,"Duckweed,Lentils,Water Lentil,RuBisCO Protein ",Asia Pacific,Singapore,"Arjun Ayyagari, Vaibhaw Dwivedi, RENERGii Ventures pte ltd",2020,arjun@urbantiller.com,www.urbantiller.com
Umami Meats,"Singapore-based company developing cultivated seafood, starting with IUCN Red Listed species that are difficult to farm and that are being driven extinct by human consumption. 
",Cultivated,Seafood,Seed,"6,000,000","1,200,000","2,500,000","Equity,SAFE","Venture capital ,Family office,Strategic or corporate,Other",Umami Meats_Seed_teaser_v3.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/mnfDpj3rkl_y9t71SQBkVQ/6GMRCJM1yteyjErf5K6Fdb-gI80noym3N4iiuD7CIkNe3DYqV1J0RfenMMJu6UOdp3q4hFTxPkpZHGk5TOOc9-4whIdgEtJRJH6S7KCnr1uK2IOPTlQD7KErG2hCoR5J/1Fttf1zLp9SuGok-bEDRGHyfTT5Y_mEEc0FGCuTRRgk),,"Cell line development,End product formulation and manufacturing,Bioprocess design",Seafood,"Fish,Shellfish,Tuna,Other",,Asia Pacific,Singapore,Mihir Pershad ,2020,Mihir@umamimeats.com,https://www.umamimeats.com/
Nimble Foods,US-based company producing frozen single serve plant-based entrees for retail consumers.,Plant-based,Other,Seed,1.5,0,0,SAFE,"Angel ,Accelerator/incubator,Venture capital ,Family office,Strategic or corporate,Private equity",Nimble Deck.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Cs81C_edWuMvRt5JTONH3A/9TUzQr2zXwIL05ebipMvBUTMXmik864WUIsLf1Wc0FRkXB1GA1-weMtEftg9W8OoPQGKs9fJ6CMAouKZijisZTS-qzGgkwFaqmdYnL8o7IA/LWDSn16ZkmclUtSrkcg_k9NoHUyVyyOsyfUnIGWkTNI),,End product formulation and manufacturing,,,,U.S. and Canada,United States,"Michael Pease, Craig Cochran",2022,mike@eatnimble.com,eatnimble.com
The Better Meat Co.,Fermentation experts creating delicious mycelium ingredients for food companies to make the most convincing alt-meats.,Biomass fermentation,"Meat,Seafood",Series A ,$60M,0,$27M,Equity,"Venture capital ,Family office,Strategic or corporate,Private equity,Foundation,Sovereign wealth fund,Hedge fund,Pension fund ,Endowment",,,"Ingredient optimization,Feedstocks","Ground meat,Pet food,Other meat,Ingredients,Other","Beef/veal,Chicken,Pork,Turkey,Fish,Shellfish,Crab,Tuna,Other",Fungi,U.S. and Canada,United States,Paul Shapiro and Joanna Bromley,2018,paul.shapiro@bettermeat.co,www.bettermeat.co
Smart MCs,Australian based company that provides the means for up-scaling the cell culture of cultivated meat companies.,Cultivated,"Meat,Ingredients and inputs,Other",Seed,1.3,0,<100K,"Equity,SAFE","Angel ,Accelerator/incubator,Venture capital ,Family office,Strategic or corporate,Private equity,Bank,Foundation,Pension fund ,Sovereign wealth fund",Smart MCs Short Pitch V3.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/yJWJXEtucbUltW-jeFiGAw/7_SbCsnzsxAs2enXgtiHjyhtvZeQsSJdJSg4lWUQsLvBwrBdwc3197C9DO15vVK2ZR3HbkZUGvieGgZ4PMW6D5kwjfbzFIA7yp3da8yJCWc/GPfSzyxkBAsF6857nx-VjqM0KiJwffA99Vh2W00wkrY),,"Scaffolding and structure,Ingredient optimization",Other,,,Australia/New Zealand,Australia,"Payar Radfar, Lin Ding and Majid Ebrahimi Warkiani",2022,info@smartmcs.com.au,www.SmartMCs.com.au
Eighth Day Foods,"Eighth Day Foods is the only company globally to provide its patented Rapid Solid-State Fermentation (RSSF) – uniquely combining the best of plants and fermentation – to create a ready-to-cook protein that excels in taste, health, versatility and affordability.",Plant-based,"Meat,Seafood",Pre-seed,5,"300,000",1,Equity,"Angel ,Accelerator/incubator,Venture capital ,Family office,Private equity,Foundation",Eighth Day Foods - Investor Presentation Final June 2022 (1).pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/QxDvJj_2pWfOnLSuHmyOcA/6eiqxI-TfavgDamByl9_-H1ZI7X4RROPIWHg72lTMpNDbmEABsm5fLBUlPZS1JcSAV94xOFiOOLGUjH6lDtU_gvszqUWaVtRp3N7U6SKPruZ4wdN-E5uPNN_XPMo3ZWQ4gU5_3cPhUq4c3ggmmzsvQ/WAi11jwyoM-YMIDZt7zAWDPG4OBUtm4UjSdXkSGSlHM),,End product formulation and manufacturing,"Whole muscle meat,Ground meat,Other meat","Chicken,Pork,Turkey,Fish,Beef/veal,Other","Lupine,Fungi",Australia/New Zealand,Australia,Jen Drew; Roger Drew,2020,Lloyd.wilkins@eighthdayfoods.com.au,www.eighthdayfoods.com.au
ImpacFat,"Singapore-based startup developing fish cell-based fat that is tasty, nutritional, and sustainable",Cultivated,"Meat,Seafood,Ingredients and inputs",Seed,"2,400,000",Starting soon,0.11,Equity,"Angel ,Venture capital ,Foundation,Accelerator/incubator,Family office,Strategic or corporate",ImpacFat pitch deck Jun22 on dark background.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/IUL7PG2V1Md9DygldgJofg/X-yRKolYZptyLr8gWTES-1fNpVO2ZayjUkBTpu-DvnDs6bc9vETeoPm2Y5Q1XeqyrVrHfuRRhwD-1GlrbeCEo7u4ir-bn1F74GSlfRZ0iANNwgfCv5IbOvPMzYIRYSFXl4uhADEJEakj9xSXUbdorw/ITfHlRWVa8UWIXxMLmJENjOkaVGQJKEeUzr6X8yrefY),,"Ingredient optimization,Cell line development,End product formulation and manufacturing","Other meat,Oils and fats,Ingredients",Fish,,Asia Pacific,Singapore,"Shigeki Sugii, Mandy Hon, Lamony Chew, Cheryl Wong, Angela Lwin, Wee Kiat Ong",2022,info@impacfat.com,https://www.impacfat.com/
Meatiply,"Singapore-based local company developing and producing cultivated meat cuts through cutting-edge research, with the vision of generating healthier and more environmentally-friendly products that mimic the taste and texture of conventional meat.",Cultivated,"Meat,Ingredients and inputs",Seed,$6M ,0,1,"Equity,SAFE","Venture capital ,Angel ,Family office,Strategic or corporate",,,"Cell line development,Bioprocess design,Cell culture media,Scaffolding and structure,End product formulation and manufacturing","Whole muscle meat,Oils and fats","Chicken,Duck,Pork",,Asia Pacific,Singapore,"Prof. Teh Bin Tean, Dr. Elwin Tan, Dr. Jason Chua, Dr. Benjamin Chua",2021,kumar@meatiply.com,https://meatiply.com/
Wamame Foods Inc.,Canadian food technology company producing premium plant-based meat products. ,Plant-based,Meat,Seed,2,0,4000000,Equity,"Angel ,Accelerator/incubator,Venture capital ,Family office,Strategic or corporate",Deck for Wamame Q3 V2 (GFI).pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/h-oJWAo4pbjQPg7KPsqpQg/TBUrNX4fyCJasVM6LAdZP59V3OIWj5FOkcOVstRqoAnHuSHlvHC-96OmWuK8uvrE8imb3-FZbdFTgXNJAroEqiUdYYmlCc5gf43EcD7d7JU/Lp4hQp0aGyQ1ARHAuOAxZGsbfHFXFzjXit8CD-B8GjE),https://www.facebook.com/TopTierFoods/videos/142604154346706/,"End product formulation and manufacturing,Scaffolding and structure","Whole muscle meat,Ground meat,Other meat,Oils and fats","Beef/veal,Fish,Pork,Chicken","Pea,Soy,Blend,Fava bean,Canola,Quinoa","U.S. and Canada,Asia Pacific,Europe",Canada,Blair Bullus,2021,invest@toptierfoods.com,mywaygu.com
Quest Meat,"UK-based company focused on production and scale up of beef, as well as the development of adjunctive technologies to enhance process efficiency.",Cultivated,"Meat,Ingredients and inputs,Bioprocessing infrastructure and equipment",Seed,"3,000,000",0,"1,000,000",Equity,"Angel ,Venture capital ,Family office,Private equity",Quest Meat Corporate Presentation_29 July 2022.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/hm534ul2nhAykdRzqjVjCQ/eiBf8XvXrHrJ3vFhJ4tFhIZlAeM6xPPdXb8vi8O8IPWwIwaYblJH7j3jy4NqJy_BRchunw8jbIXzkv38Ornwn7rOhd2fBGETorwDodBELua-lGerGf4M-ZX4gHxrbJRLSr7ZDuRJMPdqBvCoWbH2eQ/Y5c6AEV__xYuekTXKyf1dvCpEbn_VUgqTusKUC9OhSg),,"Bioprocess design,Cell culture media,End product formulation and manufacturing,Cell line development",Ground meat,Beef/veal,,Europe,United Kingdom,"Ivan Wall, Petra Hanga, Michael Hunt, John Sinden, Russell Kerr",2021,ivan.wall@questmeat.com,www.questmeat.com
Spero,"U.S.-based company that produces plant-based dairy products, including seed-based cream cheese and goat cheese, and egg products, including pepita-based liquid egg under the brand ""pepitaegg""",Plant-based,"Dairy,Eggs",Series B,15000,n/a,"$20,000,000",Equity,"Venture capital ,Family office,Strategic or corporate,Private equity",,,End product formulation and manufacturing,"Cheese,Eggs",,Sunflower,U.S. and Canada,United States,Phaedra Randolph,2018,phaedra@sperofoods.co,https://sperofoods.co/
Alt Atlas Ltd.,"AI-powered food ingredients and solutions. With its proprietary high-throughput cell and media screening, the company is developing stem cell lines (non-GMO) and how to use them (AI-based custom recommendations to scale-up production based on users' unique production systems",Cultivated,"Meat,Ingredients and inputs,Other",Seed,$2.5M,0,"$250,000","Equity,SAFE","Angel ,Accelerator/incubator,Venture capital ,Family office,Strategic or corporate",1jscYMQhFnxOwmScXHSDvBagqNRzzRXH4 (https://v5.airtableusercontent.com/v1/14/14/1674252000000/0bwL-C9rQe2_6Tv96XOesg/JwF1JL_1T7cRoGAHKyVzKzRZA8jK_yTLoVxa_suQTUR1lkRc10y5ZoGxXNBwmgYov4BCFKz2A_mZws4eZBgfvDoOIry2BqP9Q7IF6ZBmjYyCGQYP2y8-PlYGVLbdRbQ-/T36wNJKWDlrjp3z3HbavC4i9CeBgLnyRNuPQpGSUxHA),,"Bioprocess design,Cell culture media,Cell line development,Ingredient optimization","Ingredients,Other","Beef/veal,Chicken,Pork,Other",Other,Europe,United Kingdom,Sofia Giampaoli,2021,sofia@alt-atlas.com,https://alt-atlas.com/
